group,sha256,bytes_per_file,copies_in_group,extra_bytes_in_group,path,path_classification,disposition
DUP-0001,8ce137a18af2d98a7f35c213520d9dcd3c31af0f8dc74b1a6234ecc9a70407fd,1369410,4,4108230,Java/assets/city/buildings/city/city_building_house_wide.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0001,8ce137a18af2d98a7f35c213520d9dcd3c31af0f8dc74b1a6234ecc9a70407fd,1369410,4,4108230,Java/assets/source/sprite-integrity-2026-09-22/city_building_house_wide.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0001,8ce137a18af2d98a7f35c213520d9dcd3c31af0f8dc74b1a6234ecc9a70407fd,1369410,4,4108230,asset-review/2026-09-22-sprite-integrity/generated-unused/city_house_front.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0001,8ce137a18af2d98a7f35c213520d9dcd3c31af0f8dc74b1a6234ecc9a70407fd,1369410,4,4108230,asset-review/2026-09-22-sprite-integrity/unused/Java/assets/city/buildings/city/city_house_front.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0002,6fbcf34c23d7918e693bc11f7347d43a453b184c5bf047f644bbeb5a879c6c74,1783943,3,3567886,Java/assets/city/walls/city_wall_sun_gate_horizontal.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0002,6fbcf34c23d7918e693bc11f7347d43a453b184c5bf047f644bbeb5a879c6c74,1783943,3,3567886,Java/assets/city/walls/city_wall_sun_gate_horizontal_clean.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0002,6fbcf34c23d7918e693bc11f7347d43a453b184c5bf047f644bbeb5a879c6c74,1783943,3,3567886,Java/assets/source/latest-building-integrity-2026-09-22/city_wall_sun_gate_horizontal.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0003,95b759359a4460b842dee74569a2519e6b398a18f510c8f8ee50281264b59a5e,2681608,2,2681608,Java/assets/source/npc-refresh-2026-09-22/orin.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0003,95b759359a4460b842dee74569a2519e6b398a18f510c8f8ee50281264b59a5e,2681608,2,2681608,asset-review/2026-09-22-npcs/masters/orin.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0004,33a628871136b5bc6bec159a0f4a92435ec81c13baf6a3c66ab4be0caab5c232,2505517,2,2505517,Java/assets/source/npc-refresh-2026-09-22/citizen_woman.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0004,33a628871136b5bc6bec159a0f4a92435ec81c13baf6a3c66ab4be0caab5c232,2505517,2,2505517,asset-review/2026-09-22-npcs/masters/citizen_woman.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0005,1eda32c3d7f5bab6873b48c2ca20c7c5d9f65de77afd5ebe82c8d60aca9448d2,2490214,2,2490214,Java/assets/source/npc-refresh-2026-09-22/blacksmith.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0005,1eda32c3d7f5bab6873b48c2ca20c7c5d9f65de77afd5ebe82c8d60aca9448d2,2490214,2,2490214,asset-review/2026-09-22-npcs/masters/blacksmith.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0006,5aab4e69b668fce3e9763c34ae730ec378f377dd581da34342af46a2472282b8,2467448,2,2467448,Java/assets/source/npc-refresh-2026-09-22/merchant.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0006,5aab4e69b668fce3e9763c34ae730ec378f377dd581da34342af46a2472282b8,2467448,2,2467448,asset-review/2026-09-22-npcs/masters/merchant.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0007,aadafbe060fdc0814f06b4105940bc0d55723f38550a644ea208e8027acd0da2,2378546,2,2378546,Java/assets/source/npc-refresh-2026-09-22/bartender.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0007,aadafbe060fdc0814f06b4105940bc0d55723f38550a644ea208e8027acd0da2,2378546,2,2378546,asset-review/2026-09-22-npcs/masters/bartender.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0008,b8b4852d79d80c959cf56ca398d5544b30aee4d6b2ac1c8c29199d8ce24ab2dc,2286416,2,2286416,Java/assets/source/npc-refresh-2026-09-22/citizen_man.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0008,b8b4852d79d80c959cf56ca398d5544b30aee4d6b2ac1c8c29199d8ce24ab2dc,2286416,2,2286416,asset-review/2026-09-22-npcs/masters/citizen_man.png,review-or-quarantine,review-required; not-authorized-for-deletion
DUP-0009,1a9fc3fc93f808df7b1cc9aac47c1a7ad9da782ad3cd2385385cf151c18d8211,2056413,2,2056413,Java/assets/city/regional/regional_freehold_rescue_lodge.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0009,1a9fc3fc93f808df7b1cc9aac47c1a7ad9da782ad3cd2385385cf151c18d8211,2056413,2,2056413,Java/assets/source/latest-building-integrity-2026-09-22/regional_freehold_rescue_lodge.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0010,6fd1b8dffcc77411fe9ebdc42206c69f2cefd383c450aeeb58350a9fe3a969b5,1985172,2,1985172,Java/assets/city/buildings/city/city_building_town_manor.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0010,6fd1b8dffcc77411fe9ebdc42206c69f2cefd383c450aeeb58350a9fe3a969b5,1985172,2,1985172,Java/assets/source/sprite-integrity-2026-09-22/city_building_town_manor.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0011,8093a45158daf7ce4dae6027ca040a3e3d78d40bb61973ce14306b20c316b0bc,1944947,2,1944947,Java/assets/city/terrain/city_cobble.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0011,8093a45158daf7ce4dae6027ca040a3e3d78d40bb61973ce14306b20c316b0bc,1944947,2,1944947,Java/assets/source/sprite-integrity-2026-09-22/city_cobble.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0012,9cbab622703d2dc074195dc9891fe8e728ae56c59fa7aa0f01294b049879517b,1917440,2,1917440,Java/assets/city/buildings/city/city_building_stone_hall.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
DUP-0012,9cbab622703d2dc074195dc9891fe8e728ae56c59fa7aa0f01294b049879517b,1917440,2,1917440,Java/assets/source/sprite-integrity-2026-09-22/city_building_stone_hall.png,source-or-development-candidate,review-required; not-authorized-for-deletion
DUP-0013,ffb2e3141362d8903c19ef1bfddd9c1d0ee8edd2a533d429826ba89ba866284d,1892603,2,1892603,Java/assets/monsters/goblin_king.png,runtime-folder-candidate,review-required; not-authorized-for-deletion
