monster	sprite	ability	gameplay_effect	vfx	motion
ash_scorpion	ash_scorpion	Cinder Sting	fire	fx_fire	MELEE
bandit_archer	bandit_archer	Pinning Shot	pierce	fx_snare_arrow_unique	PROJECTILE
bandit_archer	bandit_archer	Fade Back	dust	fx_smoke_veil_unique	SELF
masked_trail_hunter	bandit_archer	Pinning Shot	pierce	fx_snare_arrow_unique	PROJECTILE
masked_trail_hunter	bandit_archer	Fade Back	dust	fx_smoke_veil_unique	SELF
bandit_captain	bandit_captain	Captain's Cut	slash	fx_slash	MELEE
bandit_captain	bandit_captain	Black Banner	ward	fx_shield	SELF
velvet_room_assassin	bandit_captain	Captain's Cut	slash	fx_slash	MELEE
velvet_room_assassin	bandit_captain	Black Banner	ward	fx_shield	SELF
contract_knives_agent	bandit_cutthroat	Low Slash	slash	fx_slash	MELEE
bandit_cutthroat	bandit_cutthroat	Low Slash	slash	fx_slash	MELEE
bat	bat	Shriek	sonic	fx_sonic	PROJECTILE
bat	bat	Darting Wings	dust	fx_smoke_veil_unique	SELF
bog_beast	bog_beast	Mire Drag	acid	fx_poison	MELEE
bog_beast	bog_beast	Swamp Renewal	ward	fx_heal	SELF
briar_snare_beast	bramble_boar	Thorn Charge	thorn	fx_thorn	MELEE
bramble_boar	bramble_boar	Thorn Charge	thorn	fx_thorn	MELEE
crypt_bat	crypt_bat	Grave Shriek	sonic	fx_sonic	PROJECTILE
crystal_hare	crystal_hare	Prism Kick	arcane	fx_arcane	MELEE
crystal_hare	crystal_hare	Shard Flash	ward	fx_shield	SELF
demon_queen	demon_queen	Boss Pressure	shadow	fx_shadow	PROJECTILE
demon_queen	demon_queen	Commanding Presence	ward	fx_shield	SELF
demon_queen	demon_queen	Mercy Edict	shadow	fx_shadow	PROJECTILE
demon_queen	demon_queen	Crown of Mercy	shadow	fx_shadow	PROJECTILE
vaelthara	demon_queen	Boss Pressure	shadow	fx_shadow	PROJECTILE
vaelthara	demon_queen	Commanding Presence	ward	fx_shield	SELF
vaelthara	demon_queen	Mercy Edict	shadow	fx_shadow	PROJECTILE
vaelthara	demon_queen	Crown of Mercy	shadow	fx_shadow	PROJECTILE
doe	doe	Startled Hoof	impact	fx_impact	MELEE
doe	doe	Forest Sprint	dust	fx_smoke_veil_unique	SELF
elder_dragon	elder_dragon	Elderflame	fire	fx_fire	PROJECTILE
elder_dragon	elder_dragon	Ancient Dread	shadow	fx_shadow	PROJECTILE
elder_dragon	elder_dragon	Scale Ward	ward	fx_shield	SELF
elder_dragon	elder_dragon	Boss Pressure	fire	fx_fire	PROJECTILE
