actor	direction	frames	unique_rendered_frames
class_knight	down	18	18
class_knight	down_left	18	18
class_knight	left	18	18
class_knight	up_left	18	18
class_knight	up	18	18
class_knight	up_right	18	18
class_knight	right	18	18
class_knight	down_right	18	18
class_mage	down	12	12
class_mage	down_left	18	18
class_mage	left	12	12
class_mage	up_left	18	18
class_mage	up	12	12
class_mage	up_right	18	18
class_mage	right	12	12
class_mage	down_right	18	18
class_ranger	down	18	18
class_ranger	down_left	18	18
class_ranger	left	18	18
class_ranger	up_left	18	18
class_ranger	up	18	18
class_ranger	up_right	18	18
class_ranger	right	18	18
class_ranger	down_right	18	18
class_cleric	down	18	18
class_cleric	down_left	18	18
class_cleric	left	18	18
class_cleric	up_left	18	18
class_cleric	up	18	18
class_cleric	up_right	18	18
class_cleric	right	18	18
class_cleric	down_right	18	18
class_rogue	down	18	18
class_rogue	down_left	18	18
class_rogue	left	18	18
class_rogue	up_left	18	18
class_rogue	up	18	18
class_rogue	up_right	18	18
class_rogue	right	18	18
class_rogue	down_right	18	18
npc_aria	down	8	8
npc_aria	down_left	8	8
npc_aria	left	8	8
npc_aria	up_left	8	8
npc_aria	up	8	8
npc_aria	up_right	8	8
npc_aria	right	8	8
npc_aria	down_right	8	8
npc_calder	down	8	8
npc_calder	down_left	8	8
npc_calder	left	8	8
npc_calder	up_left	8	8
npc_calder	up	8	8
npc_calder	up_right	8	8
npc_calder	right	8	8
npc_calder	down_right	8	8
npc_cassia	down	8	8
npc_cassia	down_left	8	8
npc_cassia	left	8	8
npc_cassia	up_left	8	8
npc_cassia	up	8	8
npc_cassia	up_right	8	8
npc_cassia	right	8	8
npc_cassia	down_right	8	8
npc_lyra	down	8	8
npc_lyra	down_left	8	8
npc_lyra	left	8	8
npc_lyra	up_left	8	8
npc_lyra	up	8	8
npc_lyra	up_right	8	8
npc_lyra	right	8	8
npc_lyra	down_right	8	8
npc_maera	down	8	8
npc_maera	down_left	8	8
npc_maera	left	8	8
npc_maera	up_left	8	8
npc_maera	up	8	8
npc_maera	up_right	8	8
npc_maera	right	8	8
npc_maera	down_right	8	8
npc_rafiq	down	8	8
npc_rafiq	down_left	8	8
npc_rafiq	left	8	8
npc_rafiq	up_left	8	8
npc_rafiq	up	8	8
npc_rafiq	up_right	8	8
npc_rafiq	right	8	8
npc_rafiq	down_right	8	8
npc_samir	down	8	8
npc_samir	down_left	8	8
npc_samir	left	8	8
npc_samir	up_left	8	8
npc_samir	up	8	8
npc_samir	up_right	8	8
npc_samir	right	8	8
npc_samir	down_right	8	8
npc_seraphine	down	8	8
npc_seraphine	down_left	8	8
npc_seraphine	left	8	8
npc_seraphine	up_left	8	8
npc_seraphine	up	8	8
npc_seraphine	up_right	8	8
npc_seraphine	right	8	8
npc_seraphine	down_right	8	8
npc_vesper	down	8	8
npc_vesper	down_left	8	8
npc_vesper	left	8	8
npc_vesper	up_left	8	8
npc_vesper	up	8	8
npc_vesper	up_right	8	8
npc_vesper	right	8	8
npc_vesper	down_right	8	8
