actor	direction	frames	unique_rendered_frames
class_knight	down	32	32
class_knight	down_left	32	32
class_knight	left	32	32
class_knight	up_left	32	32
class_knight	up	32	32
class_knight	up_right	32	32
class_knight	right	32	32
class_knight	down_right	32	32
class_mage	down	32	32
class_mage	down_left	32	32
class_mage	left	32	32
class_mage	up_left	32	32
class_mage	up	32	32
class_mage	up_right	32	32
class_mage	right	32	32
class_mage	down_right	32	32
class_ranger	down	32	32
class_ranger	down_left	32	32
class_ranger	left	32	32
class_ranger	up_left	32	32
class_ranger	up	32	32
class_ranger	up_right	32	32
class_ranger	right	32	32
class_ranger	down_right	32	32
class_cleric	down	32	32
class_cleric	down_left	32	32
class_cleric	left	32	32
class_cleric	up_left	32	32
class_cleric	up	32	32
class_cleric	up_right	32	32
class_cleric	right	32	32
class_cleric	down_right	32	32
class_rogue	down	32	32
class_rogue	down_left	32	32
class_rogue	left	32	32
class_rogue	up_left	32	32
class_rogue	up	32	32
class_rogue	up_right	32	32
class_rogue	right	32	32
class_rogue	down_right	32	32
npc_aria	down	32	32
npc_aria	down_left	32	32
npc_aria	left	32	32
npc_aria	up_left	32	32
npc_aria	up	32	32
npc_aria	up_right	32	32
npc_aria	right	32	32
npc_aria	down_right	32	32
npc_calder	down	32	32
npc_calder	down_left	32	32
npc_calder	left	32	32
npc_calder	up_left	32	32
npc_calder	up	32	32
npc_calder	up_right	32	32
npc_calder	right	32	32
npc_calder	down_right	32	32
npc_cassia	down	32	32
npc_cassia	down_left	32	32
npc_cassia	left	32	32
npc_cassia	up_left	32	32
npc_cassia	up	32	32
npc_cassia	up_right	32	32
npc_cassia	right	32	32
npc_cassia	down_right	32	32
npc_lyra	down	32	32
npc_lyra	down_left	32	32
npc_lyra	left	32	32
npc_lyra	up_left	32	32
npc_lyra	up	32	32
npc_lyra	up_right	32	32
npc_lyra	right	32	32
npc_lyra	down_right	32	32
npc_maera	down	32	32
npc_maera	down_left	32	32
npc_maera	left	32	32
npc_maera	up_left	32	32
npc_maera	up	32	32
npc_maera	up_right	32	32
npc_maera	right	32	32
npc_maera	down_right	32	32
npc_rafiq	down	32	32
npc_rafiq	down_left	32	32
npc_rafiq	left	32	32
npc_rafiq	up_left	32	32
npc_rafiq	up	32	32
npc_rafiq	up_right	32	32
npc_rafiq	right	32	32
npc_rafiq	down_right	32	32
npc_samir	down	32	32
npc_samir	down_left	32	32
npc_samir	left	32	32
npc_samir	up_left	32	32
npc_samir	up	32	32
npc_samir	up_right	32	32
npc_samir	right	32	32
npc_samir	down_right	32	32
npc_seraphine	down	32	32
npc_seraphine	down_left	32	32
npc_seraphine	left	32	32
npc_seraphine	up_left	32	32
npc_seraphine	up	32	32
npc_seraphine	up_right	32	32
npc_seraphine	right	32	32
npc_seraphine	down_right	32	32
npc_vesper	down	32	32
npc_vesper	down_left	32	32
npc_vesper	left	32	32
npc_vesper	up_left	32	32
npc_vesper	up	32	32
npc_vesper	up_right	32	32
npc_vesper	right	32	32
npc_vesper	down_right	32	32
npc_baker	down	32	32
npc_baker	down_left	32	32
npc_baker	left	32	32
npc_baker	up_left	32	32
npc_baker	up	32	32
npc_baker	up_right	32	32
npc_baker	right	32	32
npc_baker	down_right	32	32
npc_bartender	down	32	32
npc_bartender	down_left	32	32
npc_bartender	left	32	32
npc_bartender	up_left	32	32
npc_bartender	up	32	32
npc_bartender	up_right	32	32
npc_bartender	right	32	32
npc_bartender	down_right	32	32
npc_blacksmith	down	32	32
npc_blacksmith	down_left	32	32
npc_blacksmith	left	32	32
npc_blacksmith	up_left	32	32
npc_blacksmith	up	32	32
npc_blacksmith	up_right	32	32
npc_blacksmith	right	32	32
npc_blacksmith	down_right	32	32
npc_citizen_man	down	32	32
npc_citizen_man	down_left	32	32
npc_citizen_man	left	32	32
