actor	direction	frames	unique_rendered_frames
class_knight	down	24	24
class_knight	down_left	24	24
class_knight	left	24	24
class_knight	up_left	24	24
class_knight	up	24	24
class_knight	up_right	24	24
class_knight	right	24	24
class_knight	down_right	24	24
class_mage	down	24	24
class_mage	down_left	24	24
class_mage	left	24	24
class_mage	up_left	24	24
class_mage	up	24	24
class_mage	up_right	24	24
class_mage	right	24	24
class_mage	down_right	24	24
class_ranger	down	24	24
class_ranger	down_left	24	24
class_ranger	left	24	24
class_ranger	up_left	24	24
class_ranger	up	24	24
class_ranger	up_right	24	24
class_ranger	right	24	24
class_ranger	down_right	24	24
class_cleric	down	24	24
class_cleric	down_left	24	24
class_cleric	left	24	24
class_cleric	up_left	24	24
class_cleric	up	24	24
class_cleric	up_right	24	24
class_cleric	right	24	24
class_cleric	down_right	24	24
class_rogue	down	24	24
class_rogue	down_left	24	24
class_rogue	left	24	24
class_rogue	up_left	24	24
class_rogue	up	24	24
class_rogue	up_right	24	24
class_rogue	right	24	24
class_rogue	down_right	24	24
npc_aria	down	24	24
npc_aria	down_left	24	24
npc_aria	left	24	24
npc_aria	up_left	24	24
npc_aria	up	24	24
npc_aria	up_right	24	24
npc_aria	right	24	24
npc_aria	down_right	24	24
npc_calder	down	24	24
npc_calder	down_left	24	24
npc_calder	left	24	24
npc_calder	up_left	24	24
npc_calder	up	24	24
npc_calder	up_right	24	24
npc_calder	right	24	24
npc_calder	down_right	24	24
npc_cassia	down	24	24
npc_cassia	down_left	24	24
npc_cassia	left	24	24
npc_cassia	up_left	24	24
npc_cassia	up	24	24
npc_cassia	up_right	24	24
npc_cassia	right	24	24
npc_cassia	down_right	24	24
npc_lyra	down	24	24
npc_lyra	down_left	24	24
npc_lyra	left	24	24
npc_lyra	up_left	24	24
npc_lyra	up	24	24
npc_lyra	up_right	24	24
npc_lyra	right	24	24
npc_lyra	down_right	24	24
npc_maera	down	24	24
npc_maera	down_left	24	24
npc_maera	left	24	24
npc_maera	up_left	24	24
npc_maera	up	24	24
npc_maera	up_right	24	24
npc_maera	right	24	24
npc_maera	down_right	24	24
npc_rafiq	down	24	24
npc_rafiq	down_left	24	24
npc_rafiq	left	24	24
npc_rafiq	up_left	24	24
npc_rafiq	up	24	24
npc_rafiq	up_right	24	24
npc_rafiq	right	24	24
npc_rafiq	down_right	24	24
npc_samir	down	24	24
npc_samir	down_left	24	24
npc_samir	left	24	24
npc_samir	up_left	24	24
npc_samir	up	24	24
npc_samir	up_right	24	24
npc_samir	right	24	24
npc_samir	down_right	24	24
npc_seraphine	down	24	24
npc_seraphine	down_left	24	24
npc_seraphine	left	24	24
npc_seraphine	up_left	24	24
npc_seraphine	up	24	24
npc_seraphine	up_right	24	24
npc_seraphine	right	24	24
npc_seraphine	down_right	24	24
npc_vesper	down	24	24
npc_vesper	down_left	24	24
npc_vesper	left	24	24
npc_vesper	up_left	24	24
npc_vesper	up	24	24
npc_vesper	up_right	24	24
npc_vesper	right	24	24
npc_vesper	down_right	24	24
