actor,direction,source,status,poses_checked,physics_status,flags
class_cleric,down,class_cleric_model_down,checks-pass,96,checks-pass,1/5 contour landmarks visible; covered anatomy inferred
class_cleric,down_left,class_cleric_model_down_left,checks-pass,96,checks-pass,0/5 contour landmarks visible; covered anatomy inferred
class_cleric,left,class_cleric_model_left,checks-pass,96,checks-pass,1/5 contour landmarks visible; covered anatomy inferred
class_cleric,up_left,class_cleric_model_up_left,checks-pass,96,checks-pass,0/5 contour landmarks visible; covered anatomy inferred
class_cleric,up,class_cleric_model_up,checks-pass,96,checks-pass,0/5 contour landmarks visible; covered anatomy inferred
class_cleric,up_right,class_cleric_model_up_right,checks-pass,96,checks-pass,0/5 contour landmarks visible; covered anatomy inferred
class_cleric,right,class_cleric_model_right,checks-pass,96,checks-pass,1/5 contour landmarks visible; covered anatomy inferred
class_cleric,down_right,class_cleric_model_down_right,checks-pass,96,checks-pass,0/5 contour landmarks visible; covered anatomy inferred
class_knight,down,class_knight_model_down,checks-pass,96,checks-pass,3/5 contour landmarks visible; source row spans
class_knight,down_left,class_knight_model_down_left,checks-pass,96,checks-pass,2/5 contour landmarks visible; source row spans
class_knight,left,class_knight_model_left,checks-pass,96,checks-pass,2/5 contour landmarks visible; source row spans
class_knight,up_left,class_knight_model_up_left,checks-pass,96,checks-pass,2/5 contour landmarks visible; source row spans
class_knight,up,class_knight_model_up,checks-pass,96,checks-pass,3/5 contour landmarks visible; source row spans
class_knight,up_right,class_knight_model_up_right,checks-pass,96,checks-pass,2/5 contour landmarks visible; source row spans
class_knight,right,class_knight_model_right,checks-pass,96,checks-pass,4/5 contour landmarks visible; source row spans
class_knight,down_right,class_knight_model_down_right,checks-pass,96,checks-pass,2/5 contour landmarks visible; source row spans
class_mage,down,class_mage_model_down,checks-pass,96,checks-pass,1/5 contour landmarks visible; covered anatomy inferred
class_mage,down_left,class_mage_model_down_left,checks-pass,96,checks-pass,2/5 contour landmarks visible; covered anatomy inferred
class_mage,left,class_mage_model_left,checks-pass,96,checks-pass,1/5 contour landmarks visible; covered anatomy inferred
class_mage,up_left,class_mage_model_up_left,checks-pass,96,checks-pass,1/5 contour landmarks visible; covered anatomy inferred
class_mage,up,class_mage_model_up,checks-pass,96,checks-pass,1/5 contour landmarks visible; covered anatomy inferred
class_mage,up_right,class_mage_model_up_right,checks-pass,96,checks-pass,1/5 contour landmarks visible; covered anatomy inferred
class_mage,right,class_mage_model_right,checks-pass,96,checks-pass,1/5 contour landmarks visible; covered anatomy inferred
class_mage,down_right,class_mage_model_down_right,checks-pass,96,checks-pass,2/5 contour landmarks visible; covered anatomy inferred
class_ranger,down,class_ranger_model_down,checks-pass,96,checks-pass,5/5 contour landmarks visible; source row spans
class_ranger,down_left,class_ranger_model_down_left,checks-pass,96,checks-pass,5/5 contour landmarks visible; source row spans
class_ranger,left,class_ranger_model_left,checks-pass,96,checks-pass,5/5 contour landmarks visible; source row spans
