sprite,surface,pelvis_x,hip_y,thigh_root,thigh,knee,calf,ankle,source_hash,evidence
class_cleric_model_down,HIDDEN_BY_ROBE,96.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,8.128549999999999,ca033be2,1/5 contour landmarks visible; covered anatomy inferred
class_cleric_model_down_left,HIDDEN_BY_ROBE,96.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,6.215949999999999,23ca8575,0/5 contour landmarks visible; covered anatomy inferred
class_cleric_model_left,HIDDEN_BY_ROBE,97.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,8.128549999999999,e59cc795,1/5 contour landmarks visible; covered anatomy inferred
class_cleric_model_up_left,HIDDEN_BY_ROBE,97.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,6.215949999999999,339000c5,0/5 contour landmarks visible; covered anatomy inferred
class_cleric_model_up,HIDDEN_BY_ROBE,96.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,6.215949999999999,f7fde04d,0/5 contour landmarks visible; covered anatomy inferred
class_cleric_model_up_right,HIDDEN_BY_ROBE,95.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,6.215949999999999,34f55a0f,0/5 contour landmarks visible; covered anatomy inferred
class_cleric_model_right,HIDDEN_BY_ROBE,97.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,8.128549999999999,5277428f,1/5 contour landmarks visible; covered anatomy inferred
class_cleric_model_down_right,HIDDEN_BY_ROBE,96.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,6.215949999999999,285411aa,0/5 contour landmarks visible; covered anatomy inferred
class_knight_model_down,ARMOR,95.0,78,13.859799999999998,14.703439999999999,11.11111111111111,11.11111111111111,6.666666666666666,de4b1572,3/5 contour landmarks visible; source row spans
class_knight_model_down_left,ARMOR,91.0,78,13.859799999999998,14.703439999999999,10.2442,10.2442,10.2442,19607095,2/5 contour landmarks visible; source row spans
class_knight_model_left,ARMOR,93.0,78,13.859799999999998,14.703439999999999,10.2442,12.0,10.2442,1f8c5967,2/5 contour landmarks visible; source row spans
class_knight_model_up_left,ARMOR,93.0,78,13.859799999999998,14.703439999999999,10.2442,12.0,5.0,5b8b0e12,2/5 contour landmarks visible; source row spans
class_knight_model_up,ARMOR,96.0,78,13.859799999999998,14.703439999999999,12.0,12.0,6.666666666666666,bd247d4c,3/5 contour landmarks visible; source row spans
class_knight_model_up_right,ARMOR,99.0,78,13.859799999999998,14.703439999999999,10.2442,12.0,10.2442,548afcc3,2/5 contour landmarks visible; source row spans
class_knight_model_right,ARMOR,107.0,78,13.0,14.0,10.0,12.0,8.0,78f66792,4/5 contour landmarks visible; source row spans
class_knight_model_down_right,ARMOR,100.0,78,13.859799999999998,14.703439999999999,10.2442,12.0,10.2442,e13b8636,2/5 contour landmarks visible; source row spans
class_mage_model_down,HIDDEN_BY_ROBE,96.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,5.0,9c5d2c5e,1/5 contour landmarks visible; covered anatomy inferred
class_mage_model_down_left,HIDDEN_BY_ROBE,94.0,78,10.997449999999997,11.666859999999998,8.128549999999999,12.0,8.128549999999999,914866d,2/5 contour landmarks visible; covered anatomy inferred
class_mage_model_left,HIDDEN_BY_ROBE,94.0,79,10.913499999999999,11.5778,8.0665,9.49,8.0665,65ba3ac0,1/5 contour landmarks visible; covered anatomy inferred
class_mage_model_up_left,HIDDEN_BY_ROBE,94.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,8.128549999999999,38468ca5,1/5 contour landmarks visible; covered anatomy inferred
class_mage_model_up,HIDDEN_BY_ROBE,96.0,79,10.913499999999999,11.5778,8.0665,9.49,5.0,d6d99ec8,1/5 contour landmarks visible; covered anatomy inferred
class_mage_model_up_right,HIDDEN_BY_ROBE,96.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,8.128549999999999,79d83a9a,1/5 contour landmarks visible; covered anatomy inferred
class_mage_model_right,HIDDEN_BY_ROBE,98.0,78,10.0,11.0,8.0,9.0,6.0,9c1eba96,1/5 contour landmarks visible; covered anatomy inferred
class_mage_model_down_right,HIDDEN_BY_ROBE,99.0,78,10.997449999999997,11.666859999999998,8.128549999999999,12.0,8.128549999999999,47bd226d,2/5 contour landmarks visible; covered anatomy inferred
class_ranger_model_down,EXPOSED,94.0,78,8.0,9.0,7.0,7.0,5.0,bae9d306,5/5 contour landmarks visible; source row spans
class_ranger_model_down_left,EXPOSED,93.0,78,12.0,15.0,11.0,11.0,8.0,4061e322,5/5 contour landmarks visible; source row spans
class_ranger_model_left,EXPOSED,100.0,78,13.0,15.0,12.0,12.0,12.0,f57ca75b,5/5 contour landmarks visible; source row spans
class_ranger_model_up_left,HIDDEN_BY_ROBE,90.0,78,9.128549999999999,11.666859999999998,8.128549999999999,9.562999999999999,8.0,93dfcbf4,2/5 contour landmarks visible; covered anatomy inferred
class_ranger_model_up,HIDDEN_BY_ROBE,94.0,78,9.128549999999999,10.128549999999999,8.128549999999999,9.562999999999999,5.555555555555555,6f3dcd15,3/5 contour landmarks visible; covered anatomy inferred
class_ranger_model_up_right,HIDDEN_BY_ROBE,87.0,78,15.0,13.0,11.0,11.0,10.0,2ebfefd4,5/5 contour landmarks visible; covered anatomy inferred
class_ranger_model_right,EXPOSED,93.0,78,15.0,10.128549999999999,8.128549999999999,10.0,8.128549999999999,3d4d9cd0,4/5 contour landmarks visible; source row spans
class_ranger_model_down_right,EXPOSED,87.0,78,15.0,12.0,10.0,10.0,6.0,998c3cd,4/5 contour landmarks visible; source row spans
class_rogue_model_down,EXPOSED,98.0,78,8.0,9.0,7.0,7.0,5.0,255b6444,5/5 contour landmarks visible; source row spans
class_rogue_model_down_left,EXPOSED,97.0,78,13.0,9.0,7.0,9.0,5.0,b701fa6b,5/5 contour landmarks visible; source row spans
class_rogue_model_left,EXPOSED,95.0,78,13.0,14.0,12.0,12.0,7.0,bf277ed5,5/5 contour landmarks visible; source row spans
class_rogue_model_up_left,HIDDEN_BY_ROBE,94.0,78,15.0,11.666859999999998,8.128549999999999,8.128549999999999,8.128549999999999,18a4142c,3/5 contour landmarks visible; covered anatomy inferred
class_rogue_model_up,HIDDEN_BY_ROBE,95.0,78,10.997449999999997,11.666859999999998,8.128549999999999,8.128549999999999,5.555555555555555,e77c04c4,2/5 contour landmarks visible; covered anatomy inferred
class_rogue_model_up_right,HIDDEN_BY_ROBE,95.0,78,11.0,11.666859999999998,7.0,10.0,7.0,5f68b20,4/5 contour landmarks visible; covered anatomy inferred
class_rogue_model_right,EXPOSED,96.0,78,11.0,12.0,10.0,10.0,10.0,5b54cedc,5/5 contour landmarks visible; source row spans
class_rogue_model_down_right,EXPOSED,96.0,78,11.0,12.0,10.0,11.0,9.0,69f1f1b6,4/5 contour landmarks visible; source row spans
npc_aria_model_down,EXPOSED,94.0,78,10.997449999999997,11.666859999999998,8.128549999999999,8.333333333333334,7.777777777777778,30fab635,2/5 contour landmarks visible; source row spans
npc_aria_model_down_left,EXPOSED,94.0,78,10.997449999999997,11.666859999999998,8.128549999999999,12.0,8.128549999999999,962796a6,2/5 contour landmarks visible; source row spans
npc_aria_model_left,EXPOSED,96.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,8.128549999999999,8363873a,1/5 contour landmarks visible; source row spans
npc_aria_model_up_left,EXPOSED,99.0,78,10.997449999999997,15.0,7.0,9.562999999999999,7.0,2de41690,3/5 contour landmarks visible; source row spans
npc_aria_model_up,EXPOSED,97.0,78,10.997449999999997,11.666859999999998,8.128549999999999,12.0,8.128549999999999,1653f3b,2/5 contour landmarks visible; source row spans
npc_aria_model_up_right,EXPOSED,96.0,78,13.0,14.0,12.0,12.0,6.215949999999999,cd37653f,2/5 contour landmarks visible; source row spans
npc_aria_model_right,EXPOSED,95.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,8.128549999999999,28ba0203,1/5 contour landmarks visible; source row spans
npc_aria_model_down_right,EXPOSED,96.0,78,10.997449999999997,11.666859999999998,8.128549999999999,10.0,8.128549999999999,4e22dd0b,2/5 contour landmarks visible; source row spans
npc_baker_model_down,HIDDEN_BY_ROBE,96.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,5.555555555555555,a2a5bbe,1/5 contour landmarks visible; covered anatomy inferred
npc_baker_model_left,HIDDEN_BY_ROBE,91.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,6.215949999999999,e24a37f4,0/5 contour landmarks visible; covered anatomy inferred
npc_baker_model_up,HIDDEN_BY_ROBE,99.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,8.128549999999999,85b7062c,1/5 contour landmarks visible; covered anatomy inferred
npc_baker_model_right,HIDDEN_BY_ROBE,100.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,8.128549999999999,9664de0b,1/5 contour landmarks visible; covered anatomy inferred
npc_bartender_model_down,EXPOSED,104.0,78,10.997449999999997,11.666859999999998,8.128549999999999,8.333333333333334,7.777777777777778,3c680bfa,2/5 contour landmarks visible; source row spans
npc_bartender_model_left,EXPOSED,104.0,78,10.82955,11.48874,8.00445,12.0,8.00445,93e090e1,2/5 contour landmarks visible; source row spans
npc_bartender_model_up,EXPOSED,88.0,79,10.913499999999999,11.5778,8.0665,8.333333333333334,7.777777777777778,a10f34ed,2/5 contour landmarks visible; source row spans
npc_bartender_model_right,EXPOSED,87.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,6.215949999999999,d83c7c0c,0/5 contour landmarks visible; source row spans
npc_blacksmith_model_down,EXPOSED,97.0,78,10.913499999999999,11.5778,8.0665,8.333333333333334,8.0665,e628ceb3,2/5 contour landmarks visible; source row spans
npc_blacksmith_model_left,EXPOSED,99.0,78,10.997449999999997,11.666859999999998,8.128549999999999,12.0,6.215949999999999,228951a4,1/5 contour landmarks visible; source row spans
npc_blacksmith_model_up,EXPOSED,93.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,8.128549999999999,25631d2d,1/5 contour landmarks visible; source row spans
npc_blacksmith_model_right,EXPOSED,92.0,78,10.913499999999999,11.5778,8.0665,12.0,8.0665,e94072db,2/5 contour landmarks visible; source row spans
npc_calder_model_down,EXPOSED,94.0,78,12.11111111111111,13.11111111111111,11.11111111111111,12.0,11.11111111111111,8be5bfc2,3/5 contour landmarks visible; source row spans
npc_calder_model_down_left,EXPOSED,94.0,78,10.997449999999997,11.666859999999998,9.0,12.0,6.215949999999999,1e19b93b,2/5 contour landmarks visible; source row spans
npc_calder_model_left,EXPOSED,87.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,6.215949999999999,979dfc83,0/5 contour landmarks visible; source row spans
npc_calder_model_up_left,EXPOSED,94.0,78,13.0,15.0,12.0,12.0,12.0,ce1ba374,4/5 contour landmarks visible; source row spans
npc_calder_model_up,EXPOSED,90.0,78,10.997449999999997,11.666859999999998,9.444444444444445,9.444444444444445,8.88888888888889,87237e27,3/5 contour landmarks visible; source row spans
npc_calder_model_up_right,EXPOSED,90.0,78,10.997449999999997,11.666859999999998,8.128549999999999,12.0,8.128549999999999,3066a869,2/5 contour landmarks visible; source row spans
npc_calder_model_right,EXPOSED,105.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,6.215949999999999,97f86a7f,0/5 contour landmarks visible; source row spans
