actor,direction,source,status,poses_checked,physics_status,flags
class_ranger,down,class_ranger_model_down,checks-pass,96,checks-pass,"5/5 contour landmarks visible; source row spans"
class_ranger,down_left,class_ranger_model_down_left,checks-pass,96,checks-pass,"5/5 contour landmarks visible; source row spans"
class_ranger,left,class_ranger_model_left,checks-pass,96,checks-pass,"5/5 contour landmarks visible; source row spans"
class_ranger,up_left,class_ranger_model_up_left,checks-pass,96,checks-pass,"2/5 contour landmarks visible; covered anatomy inferred"
class_ranger,up,class_ranger_model_up,checks-pass,96,checks-pass,"3/5 contour landmarks visible; covered anatomy inferred"
class_ranger,up_right,class_ranger_model_up_right,checks-pass,96,checks-pass,"5/5 contour landmarks visible; covered anatomy inferred"
class_ranger,right,class_ranger_model_right,checks-pass,96,checks-pass,"4/5 contour landmarks visible; source row spans"
class_ranger,down_right,class_ranger_model_down_right,checks-pass,96,checks-pass,"4/5 contour landmarks visible; source row spans"
class_rogue,down,class_rogue_model_down,checks-pass,96,checks-pass,"5/5 contour landmarks visible; source row spans"
class_rogue,down_left,class_rogue_model_down_left,checks-pass,96,checks-pass,"5/5 contour landmarks visible; source row spans"
class_rogue,left,class_rogue_model_left,checks-pass,96,checks-pass,"5/5 contour landmarks visible; source row spans"
class_rogue,up_left,class_rogue_model_up_left,checks-pass,96,checks-pass,"3/5 contour landmarks visible; covered anatomy inferred"
class_rogue,up,class_rogue_model_up,checks-pass,96,checks-pass,"2/5 contour landmarks visible; covered anatomy inferred"
class_rogue,up_right,class_rogue_model_up_right,checks-pass,96,checks-pass,"4/5 contour landmarks visible; covered anatomy inferred"
class_rogue,right,class_rogue_model_right,checks-pass,96,checks-pass,"5/5 contour landmarks visible; source row spans"
class_rogue,down_right,class_rogue_model_down_right,checks-pass,96,checks-pass,"4/5 contour landmarks visible; source row spans"
npc_calder,down,npc_calder_model_down,checks-pass,96,checks-pass,"3/5 contour landmarks visible; source row spans"
npc_calder,down_left,npc_calder_model_down_left,checks-pass,96,checks-pass,"2/5 contour landmarks visible; source row spans; carrying grip retained"
npc_calder,left,npc_calder_model_left,checks-pass,96,checks-pass,"0/5 contour landmarks visible; source row spans; no visible contour evidence; authored cutouts needed"
npc_calder,up_left,npc_calder_model_up_left,checks-pass,96,checks-pass,"4/5 contour landmarks visible; source row spans; carrying grip retained"
npc_calder,up,npc_calder_model_up,checks-pass,96,checks-pass,"3/5 contour landmarks visible; source row spans"
npc_calder,up_right,npc_calder_model_up_right,checks-pass,96,checks-pass,"2/5 contour landmarks visible; source row spans; carrying grip retained"
npc_calder,right,npc_calder_model_right,checks-pass,96,checks-pass,"0/5 contour landmarks visible; source row spans; no visible contour evidence; authored cutouts needed"
npc_calder,down_right,npc_calder_model_down_right,checks-pass,96,checks-pass,"1/5 contour landmarks visible; source row spans; carrying grip retained"
