sprite,surface,pelvis_x,hip_y,thigh_root,thigh,knee,calf,ankle,source_hash,evidence
class_ranger_model_down,EXPOSED,94.0,78,8.0,9.0,7.0,7.0,5.0,bae9d306,"5/5 contour landmarks visible; source row spans"
class_ranger_model_down_left,EXPOSED,93.0,78,12.0,15.0,11.0,11.0,8.0,4061e322,"5/5 contour landmarks visible; source row spans"
class_ranger_model_left,EXPOSED,100.0,78,13.0,15.0,12.0,12.0,12.0,f57ca75b,"5/5 contour landmarks visible; source row spans"
class_ranger_model_up_left,HIDDEN_BY_ROBE,90.0,78,9.128549999999999,11.666859999999998,8.128549999999999,9.562999999999999,8.0,93dfcbf4,"2/5 contour landmarks visible; covered anatomy inferred"
class_ranger_model_up,HIDDEN_BY_ROBE,94.0,78,9.128549999999999,10.128549999999999,8.128549999999999,9.562999999999999,5.555555555555555,6f3dcd15,"3/5 contour landmarks visible; covered anatomy inferred"
class_ranger_model_up_right,HIDDEN_BY_ROBE,87.0,78,15.0,13.0,11.0,11.0,10.0,2ebfefd4,"5/5 contour landmarks visible; covered anatomy inferred"
class_ranger_model_right,EXPOSED,93.0,78,15.0,10.128549999999999,8.128549999999999,10.0,8.128549999999999,3d4d9cd0,"4/5 contour landmarks visible; source row spans"
class_ranger_model_down_right,EXPOSED,87.0,78,15.0,12.0,10.0,10.0,6.0,998c3cd,"4/5 contour landmarks visible; source row spans"
class_rogue_model_down,EXPOSED,98.0,78,8.0,9.0,7.0,7.0,5.0,255b6444,"5/5 contour landmarks visible; source row spans"
class_rogue_model_down_left,EXPOSED,97.0,78,13.0,9.0,7.0,9.0,5.0,b701fa6b,"5/5 contour landmarks visible; source row spans"
class_rogue_model_left,EXPOSED,95.0,78,13.0,14.0,12.0,12.0,7.0,bf277ed5,"5/5 contour landmarks visible; source row spans"
class_rogue_model_up_left,HIDDEN_BY_ROBE,94.0,78,15.0,11.666859999999998,8.128549999999999,8.128549999999999,8.128549999999999,18a4142c,"3/5 contour landmarks visible; covered anatomy inferred"
class_rogue_model_up,HIDDEN_BY_ROBE,95.0,78,10.997449999999997,11.666859999999998,8.128549999999999,8.128549999999999,5.555555555555555,e77c04c4,"2/5 contour landmarks visible; covered anatomy inferred"
class_rogue_model_up_right,HIDDEN_BY_ROBE,95.0,78,11.0,11.666859999999998,7.0,10.0,7.0,5f68b20,"4/5 contour landmarks visible; covered anatomy inferred"
class_rogue_model_right,EXPOSED,96.0,78,11.0,12.0,10.0,10.0,10.0,5b54cedc,"5/5 contour landmarks visible; source row spans"
class_rogue_model_down_right,EXPOSED,96.0,78,11.0,12.0,10.0,11.0,9.0,69f1f1b6,"4/5 contour landmarks visible; source row spans"
npc_calder_model_down,EXPOSED,94.0,78,12.11111111111111,13.11111111111111,11.11111111111111,12.0,11.11111111111111,8be5bfc2,"3/5 contour landmarks visible; source row spans"
npc_calder_model_down_left,EXPOSED,94.0,78,10.997449999999997,11.666859999999998,9.0,12.0,6.215949999999999,1e19b93b,"2/5 contour landmarks visible; source row spans"
npc_calder_model_left,EXPOSED,87.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,6.215949999999999,979dfc83,"0/5 contour landmarks visible; source row spans"
npc_calder_model_up_left,EXPOSED,94.0,78,13.0,15.0,12.0,12.0,12.0,ce1ba374,"4/5 contour landmarks visible; source row spans"
npc_calder_model_up,EXPOSED,90.0,78,10.997449999999997,11.666859999999998,9.444444444444445,9.444444444444445,8.88888888888889,87237e27,"3/5 contour landmarks visible; source row spans"
npc_calder_model_up_right,EXPOSED,90.0,78,10.997449999999997,11.666859999999998,8.128549999999999,12.0,8.128549999999999,3066a869,"2/5 contour landmarks visible; source row spans"
npc_calder_model_right,EXPOSED,105.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,6.215949999999999,97f86a7f,"0/5 contour landmarks visible; source row spans"
npc_calder_model_down_right,EXPOSED,103.0,78,10.997449999999997,11.666859999999998,8.128549999999999,9.562999999999999,8.128549999999999,318da711,"1/5 contour landmarks visible; source row spans"
