actor,direction,source_available,profile_status,next_step
class_cleric,down,true,pending,calibrate pelvis contours source masks and equipment depth
class_cleric,down_left,true,pending,calibrate pelvis contours source masks and equipment depth
class_cleric,left,true,pending,calibrate pelvis contours source masks and equipment depth
class_cleric,up_left,true,pending,calibrate pelvis contours source masks and equipment depth
class_cleric,up,true,pending,calibrate pelvis contours source masks and equipment depth
class_cleric,up_right,true,pending,calibrate pelvis contours source masks and equipment depth
class_cleric,right,true,pending,calibrate pelvis contours source masks and equipment depth
class_cleric,down_right,true,pending,calibrate pelvis contours source masks and equipment depth
class_knight,down,true,pending,calibrate pelvis contours source masks and equipment depth
class_knight,down_left,true,pending,calibrate pelvis contours source masks and equipment depth
class_knight,left,true,pending,calibrate pelvis contours source masks and equipment depth
class_knight,up_left,true,pending,calibrate pelvis contours source masks and equipment depth
class_knight,up,true,pending,calibrate pelvis contours source masks and equipment depth
class_knight,up_right,true,pending,calibrate pelvis contours source masks and equipment depth
class_knight,right,true,pilot,visual review at gameplay size
class_knight,down_right,true,pending,calibrate pelvis contours source masks and equipment depth
class_mage,down,true,pending,calibrate pelvis contours source masks and equipment depth
class_mage,down_left,true,pending,calibrate pelvis contours source masks and equipment depth
class_mage,left,true,pending,calibrate pelvis contours source masks and equipment depth
class_mage,up_left,true,pending,calibrate pelvis contours source masks and equipment depth
class_mage,up,true,pending,calibrate pelvis contours source masks and equipment depth
class_mage,up_right,true,pending,calibrate pelvis contours source masks and equipment depth
class_mage,right,true,pilot,visual review at gameplay size
class_mage,down_right,true,pending,calibrate pelvis contours source masks and equipment depth
class_ranger,down,true,pending,calibrate pelvis contours source masks and equipment depth
class_ranger,down_left,true,pending,calibrate pelvis contours source masks and equipment depth
class_ranger,left,true,pending,calibrate pelvis contours source masks and equipment depth
class_ranger,up_left,true,pending,calibrate pelvis contours source masks and equipment depth
class_ranger,up,true,pending,calibrate pelvis contours source masks and equipment depth
class_ranger,up_right,true,pending,calibrate pelvis contours source masks and equipment depth
class_ranger,right,true,pending,calibrate pelvis contours source masks and equipment depth
class_ranger,down_right,true,pending,calibrate pelvis contours source masks and equipment depth
class_rogue,down,true,pending,calibrate pelvis contours source masks and equipment depth
class_rogue,down_left,true,pending,calibrate pelvis contours source masks and equipment depth
class_rogue,left,true,pending,calibrate pelvis contours source masks and equipment depth
class_rogue,up_left,true,pending,calibrate pelvis contours source masks and equipment depth
class_rogue,up,true,pending,calibrate pelvis contours source masks and equipment depth
class_rogue,up_right,true,pending,calibrate pelvis contours source masks and equipment depth
class_rogue,right,true,pending,calibrate pelvis contours source masks and equipment depth
class_rogue,down_right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_aria,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_aria,down_left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_aria,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_aria,up_left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_aria,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_aria,up_right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_aria,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_aria,down_right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_baker,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_baker,down_left,false,pending,review directional fallback before calibration
npc_baker,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_baker,up_left,false,pending,review directional fallback before calibration
npc_baker,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_baker,up_right,false,pending,review directional fallback before calibration
npc_baker,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_baker,down_right,false,pending,review directional fallback before calibration
npc_bartender,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_bartender,down_left,false,pending,review directional fallback before calibration
npc_bartender,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_bartender,up_left,false,pending,review directional fallback before calibration
npc_bartender,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_bartender,up_right,false,pending,review directional fallback before calibration
npc_bartender,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_bartender,down_right,false,pending,review directional fallback before calibration
npc_blacksmith,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_blacksmith,down_left,false,pending,review directional fallback before calibration
npc_blacksmith,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_blacksmith,up_left,false,pending,review directional fallback before calibration
npc_blacksmith,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_blacksmith,up_right,false,pending,review directional fallback before calibration
npc_blacksmith,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_blacksmith,down_right,false,pending,review directional fallback before calibration
npc_calder,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_calder,down_left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_calder,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_calder,up_left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_calder,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_calder,up_right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_calder,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_calder,down_right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_cassia,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_cassia,down_left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_cassia,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_cassia,up_left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_cassia,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_cassia,up_right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_cassia,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_cassia,down_right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_citizen_man,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_citizen_man,down_left,false,pending,review directional fallback before calibration
npc_citizen_man,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_citizen_man,up_left,false,pending,review directional fallback before calibration
npc_citizen_man,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_citizen_man,up_right,false,pending,review directional fallback before calibration
npc_citizen_man,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_citizen_man,down_right,false,pending,review directional fallback before calibration
npc_citizen_woman,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_citizen_woman,down_left,false,pending,review directional fallback before calibration
npc_citizen_woman,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_citizen_woman,up_left,false,pending,review directional fallback before calibration
npc_citizen_woman,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_citizen_woman,up_right,false,pending,review directional fallback before calibration
npc_citizen_woman,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_citizen_woman,down_right,false,pending,review directional fallback before calibration
npc_elowen,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_elowen,down_left,false,pending,review directional fallback before calibration
npc_elowen,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_elowen,up_left,false,pending,review directional fallback before calibration
npc_elowen,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_elowen,up_right,false,pending,review directional fallback before calibration
npc_elowen,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_elowen,down_right,false,pending,review directional fallback before calibration
npc_garruk,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_garruk,down_left,false,pending,review directional fallback before calibration
npc_garruk,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_garruk,up_left,false,pending,review directional fallback before calibration
npc_garruk,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_garruk,up_right,false,pending,review directional fallback before calibration
npc_garruk,right,true,pending,calibrate pelvis contours source masks and equipment depth
npc_garruk,down_right,false,pending,review directional fallback before calibration
npc_innkeeper,down,true,pending,calibrate pelvis contours source masks and equipment depth
npc_innkeeper,down_left,false,pending,review directional fallback before calibration
npc_innkeeper,left,true,pending,calibrate pelvis contours source masks and equipment depth
npc_innkeeper,up_left,false,pending,review directional fallback before calibration
npc_innkeeper,up,true,pending,calibrate pelvis contours source masks and equipment depth
npc_innkeeper,up_right,false,pending,review directional fallback before calibration
