asset	before_magenta	after_magenta	before_edge	after_edge
deco/deco_soft_grass_tuft.png	1900	0	2844	2520
deco/deco_soft_clover_white.png	780	0	1200	1114
deco/deco_soft_daisy_patch.png	102	0	1799	1609
deco/deco_soft_blue_flowers.png	1397	0	1916	1809
deco/deco_soft_yellow_flowers.png	985	0	1405	1367
deco/deco_soft_purple_flowers.png	1635	190	2183	1786
deco/deco_soft_grass_blades.png	1243	0	1982	1869
deco/deco_soft_clover_pink.png	1079	80	1600	1335
deco/deco_soft_daisy_small.png	139	0	1904	1516
deco/deco_soft_alpine_mix.png	1857	39	2699	2310
deco/deco_soft_clover_low.png	627	0	1030	988
deco/deco_soft_blue_wildflowers.png	175	0	2303	1838
deco/deco_soft_stone_large.png	373	0	582	606
deco/deco_soft_pebble_cluster.png	594	0	884	915
deco/deco_soft_mossy_rock.png	407	0	637	612
deco/deco_soft_flat_stones.png	381	0	657	685
deco/deco_soft_pebbles.png	655	0	992	1008
deco/deco_soft_mossy_boulder.png	352	0	547	663
deco/deco_soft_moss_stones.png	646	0	950	946
deco/deco_soft_leaf_litter.png	994	0	1563	1553
deco/deco_soft_dry_grass.png	1787	0	2660	2528
deco/deco_soft_frost_grass.png	2293	0	3485	2979
deco/deco_soft_reeds.png	1699	0	2732	2503
marsh/deco_reeds.png	1699	0	2732	2503
deco/deco_soft_purple_rockflowers.png	1484	386	1992	1752
deco/deco_soft_dense_snow_mound.png	2	0	771	758
tundra/deco_snow_mound.png	2	0	771	758
deco/deco_soft_dense_snow_boulder.png	7	0	1034	1014
deco/deco_soft_dense_snow_grass.png	10	0	1172	1176
deco/deco_soft_dense_frost_reeds.png	2	0	2067	1624
deco/deco_soft_dense_meadow_daisies.png	951	0	2404	2533
deco/deco_soft_dense_meadow_flowers.png	1075	0	2668	2849
grass/deco_flowers.png	1075	0	2668	2849
deco/deco_soft_dense_leafy_plant.png	751	0	1949	1907
deco/deco_soft_dense_tall_grass.png	1022	0	2422	2531
grass/deco_grass_clump.png	1022	0	2422	2531
deco/deco_soft_dense_berry_bush.png	61	0	2042	1507
deco/deco_soft_dense_leaf_bush.png	70	0	1814	1585
deco/deco_soft_dense_white_blossom_plant.png	59	0	1694	1945
deco/deco_soft_dense_blue_flower_bush.png	66	0	1459	1088
deco/deco_soft_water_cattails.png	42	0	2556	2766
deco/deco_soft_water_reeds_gold.png	102	0	2276	3096
deco/deco_soft_water_lily_reeds.png	113	0	2051	2361
deco/deco_soft_water_lily_reeds_white.png	140	0	2934	3060
deco/deco_soft_water_lily_white.png	80	0	1189	757
deco/deco_soft_water_lily_pink.png	23	0	1262	680
deco/deco_soft_water_duckweed.png	191	0	2040	1807
deco/deco_soft_water_floating_leaves.png	349	0	2246	1111
deco/deco_soft_water_wet_stones.png	8	0	1248	949
deco/deco_soft_water_mossy_boulder.png	9	0	990	903
deco/deco_soft_water_shore_grass.png	53	0	2208	1687
deco/deco_soft_water_flower_reeds.png	47	76	2824	2078
deco/deco_soft_dense_calla_plant.png	574	0	1750	1703
deco/deco_soft_dense_marsh_grass.png	1052	0	2307	2103
deco/deco_soft_water_sparkle_patch.png	4	0	2615	2613
deco/deco_soft_water_weed_patch.png	6	0	2311	1710
forest/deco_forest_mushrooms.png	0	0	261	1805
marsh/deco_mushrooms.png	0	0	261	1805
forest/deco_forest_blue_mushroom_ring.png	1	0	248	2274
forest/deco_forest_fern.png	0	0	230	3522
