asset	source	cell	width	height
deco/deco_soft_grass_tuft.png	soft-clean-sheet.png	0	199	167
deco/deco_soft_clover_white.png	soft-clean-sheet.png	1	255	141
deco/deco_soft_daisy_patch.png	soft-clean-sheet.png	2	156	150
deco/deco_soft_blue_flowers.png	soft-clean-sheet.png	3	160	165
deco/deco_soft_yellow_flowers.png	soft-clean-sheet.png	4	197	118
deco/deco_soft_purple_flowers.png	soft-clean-sheet.png	5	182	166
deco/deco_soft_grass_blades.png	soft-clean-sheet.png	6	197	156
deco/deco_soft_clover_pink.png	soft-clean-sheet.png	7	189	153
deco/deco_soft_daisy_small.png	soft-clean-sheet.png	8	178	138
deco/deco_soft_alpine_mix.png	soft-clean-sheet.png	9	194	178
deco/deco_soft_clover_low.png	soft-clean-sheet.png	10	201	137
deco/deco_soft_blue_wildflowers.png	soft-clean-sheet.png	11	171	151
deco/deco_soft_stone_large.png	soft-clean-sheet.png	12	175	119
deco/deco_soft_pebble_cluster.png	soft-clean-sheet.png	13	191	112
deco/deco_soft_mossy_rock.png	soft-clean-sheet.png	14	183	115
deco/deco_soft_flat_stones.png	soft-clean-sheet.png	15	197	126
deco/deco_soft_pebbles.png	soft-clean-sheet.png	16	159	81
deco/deco_soft_mossy_boulder.png	soft-clean-sheet.png	17	181	122
deco/deco_soft_moss_stones.png	soft-clean-sheet.png	18	200	139
deco/deco_soft_leaf_litter.png	soft-clean-sheet.png	19	195	142
deco/deco_soft_dry_grass.png	soft-clean-sheet.png	20	194	161
deco/deco_soft_frost_grass.png	soft-clean-sheet.png	21	201	177
deco/deco_soft_reeds.png	soft-clean-sheet.png	22	195	201
marsh/deco_reeds.png	soft-clean-sheet.png	22	195	201
deco/deco_soft_purple_rockflowers.png	soft-clean-sheet.png	23	179	171
deco/deco_soft_dense_snow_mound.png	dense-clean-sheet.png	0	164	143
tundra/deco_snow_mound.png	dense-clean-sheet.png	0	164	143
deco/deco_soft_dense_snow_boulder.png	dense-clean-sheet.png	1	182	157
deco/deco_soft_dense_snow_grass.png	dense-clean-sheet.png	2	185	148
deco/deco_soft_dense_frost_reeds.png	dense-clean-sheet.png	3	174	162
deco/deco_soft_dense_meadow_daisies.png	dense-clean-sheet.png	4	180	166
deco/deco_soft_dense_meadow_flowers.png	dense-clean-sheet.png	5	204	187
grass/deco_flowers.png	dense-clean-sheet.png	5	204	187
deco/deco_soft_dense_leafy_plant.png	dense-clean-sheet.png	6	192	183
deco/deco_soft_dense_tall_grass.png	dense-clean-sheet.png	7	191	157
grass/deco_grass_clump.png	dense-clean-sheet.png	7	191	157
deco/deco_soft_dense_berry_bush.png	dense-clean-sheet.png	8	197	153
deco/deco_soft_dense_leaf_bush.png	dense-clean-sheet.png	9	216	167
deco/deco_soft_dense_white_blossom_plant.png	dense-clean-sheet.png	10	171	213
deco/deco_soft_dense_blue_flower_bush.png	dense-clean-sheet.png	11	194	149
deco/deco_soft_water_cattails.png	dense-clean-sheet.png	12	156	192
deco/deco_soft_water_reeds_gold.png	dense-clean-sheet.png	13	197	188
deco/deco_soft_water_lily_reeds.png	dense-clean-sheet.png	14	163	193
deco/deco_soft_water_lily_reeds_white.png	dense-clean-sheet.png	15	207	207
deco/deco_soft_water_lily_white.png	dense-clean-sheet.png	16	179	113
deco/deco_soft_water_lily_pink.png	dense-clean-sheet.png	17	172	113
deco/deco_soft_water_duckweed.png	dense-clean-sheet.png	18	183	115
deco/deco_soft_water_floating_leaves.png	dense-clean-sheet.png	19	180	169
deco/deco_soft_water_wet_stones.png	dense-clean-sheet.png	20	180	121
deco/deco_soft_water_mossy_boulder.png	dense-clean-sheet.png	21	200	127
deco/deco_soft_water_shore_grass.png	dense-clean-sheet.png	22	200	164
deco/deco_soft_water_flower_reeds.png	dense-clean-sheet.png	23	208	139
deco/deco_soft_dense_calla_plant.png	dense-clean-sheet.png	24	170	173
deco/deco_soft_dense_marsh_grass.png	dense-clean-sheet.png	25	191	167
deco/deco_soft_water_sparkle_patch.png	dense-clean-sheet.png	26	172	144
deco/deco_soft_water_weed_patch.png	dense-clean-sheet.png	27	206	130
forest/deco_forest_mushrooms.png	mushrooms-clean.png	0	256	226
marsh/deco_mushrooms.png	mushrooms-clean.png	0	256	226
forest/deco_forest_blue_mushroom_ring.png	blue-ring-clean.png	0	256	210
forest/deco_forest_fern.png	fern-clean.png	0	256	194
