asset	source	cell
deco_ground_meadow_1	meadow-forest.png	0
deco_ground_meadow_2	meadow-forest.png	1
deco_ground_meadow_3	meadow-forest.png	2
deco_ground_meadow_4	meadow-forest.png	3
deco_ground_meadow_5	meadow-forest.png	4
deco_ground_meadow_6	meadow-forest.png	5
deco_ground_meadow_7	meadow-forest.png	6
deco_ground_meadow_8	meadow-forest.png	7
deco_ground_forest_1	meadow-forest.png	8
deco_ground_forest_2	meadow-forest.png	9
deco_ground_forest_3	meadow-forest.png	10
deco_ground_forest_4	meadow-forest.png	11
deco_ground_forest_5	meadow-forest.png	12
deco_ground_forest_6	meadow-forest.png	13
deco_ground_forest_7	meadow-forest.png	14
deco_ground_forest_8	meadow-forest.png	15
deco_ground_desert_1	desert-badlands.png	0
deco_ground_desert_2	desert-badlands.png	1
deco_ground_desert_3	desert-badlands.png	2
deco_ground_desert_4	desert-badlands.png	3
deco_ground_desert_5	desert-badlands.png	4
deco_ground_desert_6	desert-badlands.png	5
deco_ground_desert_7	desert-badlands.png	6
deco_ground_desert_8	desert-badlands.png	7
deco_ground_badlands_1	desert-badlands.png	8
deco_ground_badlands_2	desert-badlands.png	9
deco_ground_badlands_3	desert-badlands.png	10
deco_ground_badlands_4	desert-badlands.png	11
deco_ground_badlands_5	desert-badlands.png	12
deco_ground_badlands_6	desert-badlands.png	13
deco_ground_badlands_7	desert-badlands.png	14
deco_ground_badlands_8	desert-badlands.png	15
deco_ground_tundra_1	tundra-highlands.png	0
deco_ground_tundra_2	tundra-highlands.png	1
deco_ground_tundra_3	tundra-highlands.png	2
deco_ground_tundra_4	tundra-highlands.png	3
deco_ground_tundra_5	tundra-highlands.png	4
deco_ground_tundra_6	tundra-highlands.png	5
deco_ground_tundra_7	tundra-highlands.png	6
deco_ground_tundra_8	tundra-highlands.png	7
deco_ground_highlands_1	tundra-highlands.png	8
deco_ground_highlands_2	tundra-highlands.png	9
deco_ground_highlands_3	tundra-highlands.png	10
deco_ground_highlands_4	tundra-highlands.png	11
deco_ground_highlands_5	tundra-highlands.png	12
deco_ground_highlands_6	tundra-highlands.png	13
deco_ground_highlands_7	tundra-highlands.png	14
deco_ground_highlands_8	tundra-highlands.png	15
deco_ground_marsh_1	marsh-coast.png	0
deco_ground_marsh_2	marsh-coast.png	1
deco_ground_marsh_3	marsh-coast.png	2
deco_ground_marsh_4	marsh-coast.png	3
deco_ground_marsh_5	marsh-coast.png	4
deco_ground_marsh_6	marsh-coast.png	5
deco_ground_marsh_7	marsh-coast.png	6
deco_ground_marsh_8	marsh-coast.png	7
deco_ground_coast_1	marsh-coast.png	8
deco_ground_coast_2	marsh-coast.png	9
deco_ground_coast_3	marsh-coast.png	10
deco_ground_coast_4	marsh-coast.png	11
deco_ground_coast_5	marsh-coast.png	12
deco_ground_coast_6	marsh-coast.png	13
deco_ground_coast_7	marsh-coast.png	14
deco_ground_coast_8	marsh-coast.png	15
