name	x	y	width	height	size
bench	14	40	112	90	42
lamp_right	514	10	80	130	90
lamp_left	773	10	86	135	90
lamp_iron	1126	0	57	150	90
planter_herbs	14	449	114	91	34
planter_pink	310	450	114	90	34
planter_white	527	453	77	87	30
planter_blue	600	452	93	90	32
planter_cypress	790	446	60	94	44
crate_closed	14	540	76	83	26
crate_green	218	540	90	83	28
crate_red	397	540	85	83	28
barrel	969	537	73	84	30
sacks	17	622	72	73	26
pottery	526	628	91	64	32
basket_fruit	694	627	68	62	26
cart	932	624	122	70	48
stall_blue	11	691	133	129	78
stall_red	142	691	130	130	78
stall_green	270	691	141	130	78
stall_canvas	405	691	139	130	78
